002	Bebidas

0041	http://www.economatocanario.com/images/AQUARIUS%20NARANJA%20LATA%2033%20CL.jpg	8f5dc9f556a49d09fdab349a35a43cb4	nop	Aquarius Naranja	1.40
0042	http://www.lsa-conso.fr/mediatheque/1/9/4/000002491_5.jpg	c8567364a95a9e96b3bad55646be5ef6	nop	Lipton Ice	1.30
0043	http://www.economatocanario.com/images/VICHY%20CATALAN%20AGUA%20MINERAL%20CON%20GAS%20BOTELLA%201%20L.jpg	1251468d8a0e1e71c7aa8948eb35c01a	nop	Agua Gas	1.50
0044	http://www.despanabrandfoods.com/images/water/HPIM3007.jpg	7ac8c1fd028b198c36adb886c52dd4e6	-shave 0x5	Kas Naranja	1.40
0045	http://www.despanabrandfoods.com/images/water/HPIM3005.jpg	69345596630336ba4ce6ba08291779d3	-shave 0x5	Kas Limon	1.40
0046	http://www.vinyadmedia.com/img2/fanta_verdia.png	e2a38de1b93548ac7780d4a21451879e	-shave 0x10	Fanta Verdia	1.40
0047	http://www.thepublican.com/Pictures/web/g/m/e/300ml_Pepsi.jpg	8afde7ba845b2467a9b58b546cfb9de2	nop	Pepsi Bot.	1.30
0048	http://www.economatocanario.com/images/OKEY%20BATIDO%20CACAO%20BOTELLA%20750%20ML.jpg	b7408c776e83d0b490b12280ee6e191d	nop	Okey Cacao	1.25
0049	http://www.economatocanario.com/images/OKEY%20BATIDO%20FRESA%20200%20CC.jpg	49993dca697e720e304c12c5bdddbdb7	nop	Okey Fresa	1.25
0050	http://www.economatocanario.com/images/OKEY%20BATIDO%20VAINILLA%20200%20CC.jpg	c09b98a8ca7ae5e9f725a3e4fb592c11	nop	Okey Vainilla	1.25

003	Cervezas

0001	http://www.vega-es.com/media/catalog/product/cache/2/image/250x/5e06319eda06f020e43594a9c230972d/4/1/4187_1.jpg	bdeb0c850a6b3657a266de035a62b839	nop	Caña	2.00
0002	http://www.united-nations-of-beer.com/images/budweiser.jpg	af8ba84cdb767f0ce178990014c4826a	nop	Budweiser	2.40
0004	http://www.cervezasyvinos.com/18-81-large/coronita.jpg	59e58e2e06dc86802fba9d5a847d3301	nop	Coronita	2.40
0005	http://www.beerhere.co.uk/acatalog/F319_Cruzcampo_33cl.jpg	dcd81912991594731d3223ae5f6601d8	-bordercolor white -border 221x0	Cruzcampo	2.00
0006	http://www.atochavallecas.com/catalogo/cervezas/laiker.jpg	0d0e7cd704f40a720dd467f0d5d68065	nop	Laiker	1.95
0008	http://www.cervezasyvinos.com/59-135-large/heineken.jpg	a1fda1c871d72ebd5f4b63a505d5f6b5	nop	Heineken	2.40
0010	http://www.atochavallecas.com/catalogo/cervezas/mahou_clasica.jpg	e6c6afb0f346f8129a00151326300748	nop	Mahou Clasica	2.00
0011	http://www.atochavallecas.com/catalogo/cervezas/mahou_negra.jpg	fba7bddbc6745b10f9625870fe0b4595	nop	Mahou Negra	2.20
0012	http://www.atochavallecas.com/catalogo/cervezas/mahou_5estrellas.jpg	35487eb84ae5f0ebf643a4c60b0d93f0	nop	Mahou 5 Estrellas	2.30
0013	http://www.atochavallecas.com/catalogo/cervezas/mixta_shandy.jpg	13c0ba3eced8183b81a9ffb7822fd40c	nop	Mixta	2.10
